@E=$000000;&;&93%00.78#93131942;@000000
@E=$000008;D;2013/11/08,15:33:47+04;@000008
@E=$000010;M;01;@000010
@E=$000018;M;01;@000018
@E=$000020;M;01;@000020
@E=$000028;D;2013/11/08,15:45:00+04;@000028
@E=$000030;E;15:45;080;188;188;182;1;@000030
@E=$0895E8;&;&93%00.88#93131942;@0895E8
@E=$0895F0;D;2015/09/19,11:09:04+04;@0895F0
@E=$0895F8;M;01;@0895F8
@E=$089600;D;2015/09/19,11:15:00+04;@089600
@E=$089608;E;11:15;2C7;AE2;137;154;1;@089608
@E=$089610;D;2015/09/19,11:20:57+04;@089610
@E=$089618;A;0000D1013B1C;@089618
@E=$089620;D;2015/09/19,11:20:57+04;@089620
@E=$089628;C;2015/09/19,11:20:57+04;@089628
@E=$089630;D;2015/09/19,11:21:02+04;@089630
@E=$089638;A;0000D1013B1C;@089638
@E=$089640;D;2015/09/19,11:21:02+04;@089640
@E=$089648;C;2015/09/19,11:21:02+04;@089648
@E=$089650;D;2015/09/19,11:21:07+04;@089650
@E=$089658;A;0000D1013B1C;@089658
@E=$089660;D;2015/09/19,11:21:07+04;@089660
@E=$089668;C;2015/09/19,11:21:07+04;@089668
@E=$089670;E;11:30;2C7;AE2;13A;140;1;@089670
@E=$089678;E;11:45;4A8;AE2;13A;13C;1;@089678
@E=$089680;E;12:00;5ED;AE2;12A;134;1;@089680
@E=$089688;E;12:15;662;AE2;122;130;1;@089688
@E=$089690;E;12:30;6C2;AE2;11F;12E;0;@089690
@E=$089698;E;12:45;718;AE2;11E;12D;0;@089698
@E=$0896A0;E;13:00;76B;AE2;11E;12C;0;@0896A0
@E=$0896A8;E;13:15;7AB;AE2;11F;12C;0;@0896A8
@E=$0896B0;E;13:30;7D6;AE2;120;12C;0;@0896B0
@E=$0896B8;E;13:45;800;AE2;120;12C;0;@0896B8
@E=$0896C0;E;14:00;824;AE2;120;12D;0;@0896C0
@E=$0896C8;E;14:15;843;AE2;121;12D;0;@0896C8
@E=$0896D0;E;14:30;85F;AE2;122;12D;0;@0896D0
@E=$0896D8;E;14:45;87B;AE2;122;12D;0;@0896D8
@E=$0896E0;E;15:00;892;AE2;122;12D;0;@0896E0
@E=$0896E8;E;15:15;8A6;AE2;122;12D;0;@0896E8
@E=$0896F0;E;15:30;8BB;AE2;122;12D;0;@0896F0
@E=$0896F8;E;15:45;8CF;AE2;122;12D;0;@0896F8
@E=$089700;E;16:00;8E6;AE2;122;12C;0;@089700
@E=$089708;E;16:15;8FF;AE2;123;12C;0;@089708
@E=$089710;E;16:30;915;AE2;123;12C;0;@089710
@E=$089718;E;16:45;92A;AE2;124;12C;0;@089718
@E=$089720;E;17:00;945;AE2;124;12C;0;@089720
@E=$089728;E;17:15;962;AE2;124;12C;0;@089728
@E=$089730;E;17:30;98C;AE2;124;12C;0;@089730
@E=$089738;E;17:45;9AB;AE2;124;12C;0;@089738
@E=$089740;E;18:00;9CA;AE2;124;12C;0;@089740
@E=$089748;E;18:15;9DF;AE2;124;12C;0;@089748
@E=$089750;E;18:30;9EA;AE2;124;12C;0;@089750
@E=$089758;E;18:45;9F8;AE2;125;12C;0;@089758
@E=$089760;E;19:00;A06;AE2;125;12C;0;@089760
@E=$089768;E;19:15;A13;AE2;126;12D;0;@089768
@E=$089770;E;19:30;A23;AE2;126;12D;0;@089770
@E=$089778;E;19:45;A30;AE2;126;12C;0;@089778
@E=$089780;E;20:00;A38;AE2;126;12C;0;@089780
@E=$089788;E;20:15;A4A;AE2;126;12C;0;@089788
@E=$089790;E;20:30;A58;AE2;126;12C;0;@089790
@E=$089798;E;20:45;A66;AE2;126;12C;0;@089798
@E=$0897A0;E;21:00;A6E;AE2;126;12C;0;@0897A0
@E=$0897A8;E;21:15;A7B;AE2;126;12C;0;@0897A8
@E=$0897B0;E;21:30;A84;AE2;126;12C;0;@0897B0
@E=$0897B8;E;21:45;A8F;AE2;126;12C;0;@0897B8
@E=$0897C0;E;22:00;A96;AE2;126;12C;0;@0897C0
@E=$0897C8;E;22:15;A9B;AE2;126;12C;0;@0897C8
@E=$0897D0;E;22:30;AA2;AE2;126;12C;0;@0897D0
@E=$0897D8;E;22:45;AA6;AE2;126;12C;0;@0897D8
@E=$0897E0;E;23:00;AAA;AE2;126;12B;0;@0897E0
@E=$0897E8;E;23:15;AAF;AE2;126;12B;0;@0897E8
@E=$0897F0;E;23:30;ABB;AE2;126;12B;0;@0897F0
@E=$0897F8;E;23:45;AC1;AE2;126;12B;0;@0897F8
@E=$089800;D;2015/09/20,00:00:00+04;@089800
@E=$089808;E;00:00;AC6;AE2;126;12B;0;@089808
@E=$089810;E;00:15;ACB;AE2;126;12A;0;@089810
@E=$089818;E;00:30;AD0;AE2;126;12A;0;@089818
@E=$089820;E;00:45;AD5;AE2;126;12A;0;@089820
@E=$089828;E;01:00;AD9;AE2;126;12A;0;@089828
@E=$089830;E;01:15;ADD;AE2;126;12A;0;@089830
@E=$089838;E;01:30;AE3;AE2;126;12A;0;@089838
@E=$089840;E;01:45;AE9;AE2;126;12A;0;@089840
@E=$089848;E;02:00;AEE;AE2;126;12A;0;@089848
@E=$089850;E;02:15;AF4;AE2;126;12A;0;@089850
@E=$089858;E;02:30;AF8;AE2;126;12A;0;@089858
@E=$089860;E;02:45;AFF;AE2;126;12A;0;@089860
@E=$089868;E;03:00;B02;AE2;126;12A;0;@089868
@E=$089870;E;03:15;B06;AE2;126;12A;0;@089870
@E=$089878;E;03:30;B0F;AE2;126;12A;0;@089878
@E=$089880;E;03:45;B12;AE2;126;12A;0;@089880
@E=$089888;E;04:00;B18;AE2;126;12A;0;@089888
@E=$089890;E;04:15;B1D;AE2;126;12A;0;@089890
@E=$089898;E;04:30;B20;AE2;126;12A;0;@089898
@E=$0898A0;E;04:45;B25;AE2;126;12A;0;@0898A0
@E=$0898A8;E;05:00;B27;AE2;126;12A;0;@0898A8
@E=$0898B0;E;05:15;B29;AE2;125;12A;0;@0898B0
@E=$0898B8;E;05:30;B2B;AE2;125;12A;0;@0898B8
@E=$0898C0;E;05:45;B2D;AE2;125;12A;0;@0898C0
@E=$0898C8;E;06:00;B2F;AE2;125;12A;0;@0898C8
@E=$0898D0;E;06:15;B31;AE2;125;12A;0;@0898D0
@E=$0898D8;E;06:30;B34;AE2;125;12A;0;@0898D8
@E=$0898E0;E;06:45;B36;AE2;125;12A;0;@0898E0
@E=$0898E8;E;07:00;B38;AE2;125;12A;0;@0898E8
@E=$0898F0;E;07:15;B39;AE2;125;12A;0;@0898F0
@E=$0898F8;E;07:30;B3B;AE2;124;12A;0;@0898F8
@E=$089900;E;07:45;B3C;AE2;124;12A;0;@089900
@E=$089908;E;08:00;B3D;AE2;124;12A;0;@089908
@E=$089910;E;08:15;B3E;AE2;125;12A;0;@089910
@E=$089918;D;2015/09/20,08:21:43+04;@089918
@E=$089920;A;0000D1013B1C;@089920
@E=$089928;D;2015/09/20,08:21:43+04;@089928
@E=$089930;C;2015/09/20,08:21:42+04;@089930
@E=$089938;M;04;@089938
@E=$089940;?;FFFFFFFFFFFFFFFF;@089940
